tumor_type	disease_name	doid	icd10	do_name	abbr
COREAD	Colorectal adenocarcinoma	0050861		colorectal adenocarcinoma	COADREAD
COREAD	Colorectal adenocarcinoma	0050861		colorectal adenocarcinoma	COREAD
BRCA	Breast carcinoma	3459		breast carcinoma	BRCA
LGG	Lower grade glioma	0060108		brain glioma	LGG
ovarian	ovarian				
breast	breast				BREAST
pancreatic	pancreatic				
GBM	Glioblastoma multiforme	3068		glioblastoma multiforme	GBM
BLCA	Bladder carcinoma	4007		bladder carcinoma	BLCA
OV	Serous ovarian adenocarcinoma				OV
UCEC	Uterine corpus endometrioid carcinoma				UCEC
serous ovarian	serous ovarian				
LUAD	Lung adenocarcinoma	3910		lung adenocarcinoma	LUAD
CM	Cutaneous melanoma	8923	C43|C43.9	skin melanoma	SKCM
CM	Cutaneous melanoma	8923	C43|C43.9	skin melanoma	CM
LUSC	Lung squamous cell carcinoma	3907		lung squamous cell carcinoma	LUSC
PRAD	Prostate adenocarcinoma	2526		prostate adenocarcinoma	PRAD
HNSC	Head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSC
HNSC	Head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSCC
RCCC	Renal clear cell carcinoma	4467		clear cell renal cell carcinoma	CCRCC
melanoma	melanoma	1909		melanoma	MEL
multiple other tumour types	multiple other tumour types				
glioma	glioma				
NSCLC	lung non-small cell carcinoma	3908		lung non-small cell carcinoma	NSCLC
other tumour types	other tumour types				
gastric	gastric				
colorectal	colorectal				
endometrial	endometrial				
T-ALL	T-cell acute lymphoblastic leukaemia	5603	C91.5|C91.50	T-cell acute lymphoblastic leukemia	T-ALL
Soft tissue sarcoma	Soft tissue sarcoma				
Osteosarcoma	Osteosarcoma	3347		osteosarcoma	OS
Glioma	Glioma				
sarcoma	sarcoma	1115	C49	sarcoma	
glioblastoma	glioblastoma				GB
bladder	bladder				
retinoblastoma	retinoblastoma	768		retinoblastoma	RBL
AML	Acute myeloid leukemia	9119		acute myeloid leukemia	AML
neurofibroma	neurofibroma	962		neurofibroma	NFIB
meningioma	meningioma	3565	D32.9	meningioma	MNG
acoustic neuroma	acoustic neuroma	12689		acoustic neuroma	
renal	renal				
prostate	prostate				PROSTATE
malignant rhabdoid	rhabdoid cancer	3672		rhabdoid cancer	MRT
MM	Multiple myeloma	9538		multiple myeloma	MM
ALL	Acute lymphoblastic leukemia	9952	C91.0|C91.00	acute lymphocytic leukemia	ALL
DLBCL	diffuse large B-cell lymphoma	0050745		diffuse large B-cell lymphoma	DLBCL
neuroblastoma	neuroblastoma	769		neuroblastoma	NBL
neuroblastoma	neuroblastoma	769		neuroblastoma	NB
Burkitt lymphoma	Burkitt lymphoma	8584	C83.7|C83.70	Burkitt lymphoma	BL
amplified in other cancers	amplified in other cancers				
B-CLL	B-cell chronic lymphocytic leukemia	1040	C91.1|C91.10	chronic lymphocytic leukemia	CLL
Neuroblastoma	Neuroblastoma	769		neuroblastoma	NBL
Neuroblastoma	Neuroblastoma	769		neuroblastoma	NB
Wilms tumour	Wilms tumour				
cancers from epithelial neural and hematopoietic origin	cancers from epithelial neural and hematopoietic origin				
digestive tract cancers	digestive tract cancers				
B-cell leukemia (B-CLL)	B-cell chronic lymphocytic leukemia	1040	C91.1|C91.10	chronic lymphocytic leukemia	CLL
non small cell lung carcinomas (NSCLC)	non-small cell lung carcinoma	3908		lung non-small cell carcinoma	
ALCL	anaplastic large cell lymphoma	0050744		anaplastic large cell lymphoma	ALCL
inflammatory myofibroblastic tumour	inflammatory myofibroblastic tumor	0050905		inflammatory myofibroblastic tumor	IMT
Spitzoid tumour	Spitzoid tumour				
desmoid	desmoid				
hepatoblastoma	hepatoblastoma	687	C22.2	hepatoblastoma	LIHB
other CNS	other CNS				
colon cancer	colon cancer	219	C18|C18.9	colon cancer	
lymphoma	lymphoma	0060058	C85.9	lymphoma	
clear cell ovarian carcinoma	clear cell ovarian carcinoma	0050934		ovarian clear cell carcinoma	
RCC	RCC	4450		renal cell carcinoma	RCC
T-PLL	T-PLL				T-PLL
hepatocellular carcinoma	hepatocellular carcinoma	684	C22.0	hepatocellular carcinoma	HCC
sporadic medulloblastoma	sporadic medulloblastoma				
uterine carcinosarcoma	uterine carcinosarcoma	6171		uterine carcinosarcoma	
CLL	Chronic lymphocytic leukemia	1040		chronic lymphocytic leukemia	CLL
MALT	MALT lymphoma	0050909		MALT lymphoma	MALT
MCL	mantle cell lymphoma	0050746		mantle cell lymphoma	MCL
ovarian cancer	ovarian cancer	2394	C56	ovarian cancer	
lung cancer	lung cancer	1324	C34.1|C34.2|C34.3	lung cancer	
bladder carcinoma	bladder carcinoma	4007		bladder carcinoma	BLCA
Ewing sarcoma	Ewing sarcoma	3369		Ewing sarcoma	ES
