code	billable	short_desc	long_desc	three_digit	major	sub_chapter	chapter	ICD_MAJOR	ICD_FORMATTED	ICD_lower	concat	system	organ	histology_0	histology_1	histology_2
C00	FALSE	Malignant neoplasm of lip	Malignant neoplasm of lip	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.	c00	c00 malignant neoplasm of lip malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C000	TRUE	Malignant neoplasm of external upper lip	Malignant neoplasm of external upper lip	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.0	c000	c000 malignant neoplasm of external upper lip malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C001	TRUE	Malignant neoplasm of external lower lip	Malignant neoplasm of external lower lip	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.1	c001	c001 malignant neoplasm of external lower lip malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C002	TRUE	Malignant neoplasm of external lip, unspecified	Malignant neoplasm of external lip, unspecified	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.2	c002	c002 malignant neoplasm of external lip unspecified malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C003	TRUE	Malignant neoplasm of upper lip, inner aspect	Malignant neoplasm of upper lip, inner aspect	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.3	c003	c003 malignant neoplasm of upper lip inner aspect malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C004	TRUE	Malignant neoplasm of lower lip, inner aspect	Malignant neoplasm of lower lip, inner aspect	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.4	c004	c004 malignant neoplasm of lower lip inner aspect malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C005	TRUE	Malignant neoplasm of lip, unspecified, inner aspect	Malignant neoplasm of lip, unspecified, inner aspect	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.5	c005	c005 malignant neoplasm of lip unspecified inner aspect malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C006	TRUE	Malignant neoplasm of commissure of lip, unspecified	Malignant neoplasm of commissure of lip, unspecified	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.6	c006	c006 malignant neoplasm of commissure of lip unspecified malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C008	TRUE	Malignant neoplasm of overlapping sites of lip	Malignant neoplasm of overlapping sites of lip	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.8	c008	c008 malignant neoplasm of overlapping sites of lip malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C009	TRUE	Malignant neoplasm of lip, unspecified	Malignant neoplasm of lip, unspecified	C00	Malignant neoplasm of lip	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C00	C00.9	c009	c009 malignant neoplasm of lip unspecified malignant neoplasms of lip oral cavity malignant neoplasm of lip		lip, oral cavity and pharynx			
C01	TRUE	Malignant neoplasm of base of tongue	Malignant neoplasm of base of tongue	C01	Malignant neoplasm of base of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C01	C01.	c01	c01 malignant neoplasm of base of tongue malignant neoplasms of lip oral cavity malignant neoplasm of base of tongue		lip, oral cavity and pharynx			
C02	FALSE	Malignant neoplasm of other and unspecified parts of tongue	Malignant neoplasm of other and unspecified parts of tongue	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.	c02	c02 malignant neoplasm of other malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C020	TRUE	Malignant neoplasm of dorsal surface of tongue	Malignant neoplasm of dorsal surface of tongue	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.0	c020	c020 malignant neoplasm of dorsal surface of tongue malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C021	TRUE	Malignant neoplasm of border of tongue	Malignant neoplasm of border of tongue	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.1	c021	c021 malignant neoplasm of border of tongue malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C022	TRUE	Malignant neoplasm of ventral surface of tongue	Malignant neoplasm of ventral surface of tongue	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.2	c022	c022 malignant neoplasm of ventral surface of tongue malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C023	TRUE	Malig neoplasm of anterior two-thirds of tongue, part unsp	Malignant neoplasm of anterior two-thirds of tongue, part unspecified	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.3	c023	c023 malignant neoplasm of anterior two thirds of tongue part unspecified malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C024	TRUE	Malignant neoplasm of lingual tonsil	Malignant neoplasm of lingual tonsil	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.4	c024	c024 malignant neoplasm of lingual tonsil malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
